Thu Dec 16 00:45:19 2021    output.dat

         18333277 function calls (17923685 primitive calls) in 9.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      327    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\enums\TrainColor.py:5(__str__)
      327    0.003    0.000    0.027    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawRandomCardAction.py:26(execute)
      327    0.000    0.000    0.000    0.000 {method '__format__' of 'str' objects}
      282    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:1193(__call__)
      126    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\fastenum\fastenum.py:107(__reduce_ex__)
       99    0.001    0.000    0.014    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawWildCardAction.py:22(execute)
       64    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Player.py:42(<genexpr>)
       62    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Player.py:43(<genexpr>)
       42    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Player.py:41(points_from_destinations)
       37    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       30    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Destination.py:10(__init__)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       20    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
       20    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
       20    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       15    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameTree.py:16(__init__)
       15    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameTree.py:88(__initialize_info_sets)
       14    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Game.py:88(calculate_final_scores)
       14    0.000    0.000    9.732    0.695 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionUtility.py:14(of)
       14    0.003    0.000    9.729    0.695 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameTree.py:48(simulate_until_game_over)
       12    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
       12    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       12    0.000    0.000    0.012    0.001 {built-in method builtins.print}
       11    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       10    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\fromnumeric.py:2633(_amax_dispatcher)
       10    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\fromnumeric.py:2638(amax)
       10    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\fromnumeric.py:2758(_amin_dispatcher)
       10    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\fromnumeric.py:2763(amin)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amax)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amin)
       10    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:66(<dictcomp>)
       10    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:61(_make_options_dict)
       10    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:367(_get_formatdict)
       10    0.000    0.000    0.002    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:416(_get_format_function)
       10    0.000    0.000    0.008    0.001 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:468(wrapper)
       10    0.000    0.000    0.007    0.001 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:485(_array2string)
       10    0.000    0.000    0.008    0.001 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:523(array2string)
       10    0.000    0.000    0.006    0.001 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:742(_formatArray)
